company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_name,investor_region,funding_round_type,metric
Theraclone Sciences,,,,,,,,,Theraclone Sciences        
TetraLogic Pharmaceuticals,,,,,,,,,TetraLogic Pharmaceuticals        
DecImmune Therapeutics,,,,,,,,,DecImmune Therapeutics        
Sutro Biopharma,,,,,,,,,Sutro Biopharma        
Acylin Therapeutics,,,,,,,,,Acylin Therapeutics        
Oncofactor Corporation,,,,,,,,,Oncofactor Corporation        
Ardelyx,,,,,,,,,Ardelyx        
Invested.in,,,,,,,,,Invested.in        
StackSocial,,,,,,,,,StackSocial        
Look.io,,,,,,,,,Look.io        
The Kive Company,,,,,,,,,The Kive Company        
20JEANS,,,,,,,,,20JEANS        
FloQast,,,,,,,,,FloQast        
BioSeek,,,,,,,,,BioSeek        
ABPathfinder,,,,,,,,,ABPathfinder        
StyleTrek,,,,,,,,,StyleTrek        
Distil,,,,,,,,,Distil        
Snip.ly,,,,,,,,,Snip.ly        
Hug Energy,,,,,,,,,Hug Energy        
AllTrails,,,,,,,,,AllTrails        
curated.by,,,,,,,,,curated.by        
MoPub,,,,,,,,,MoPub        
Postmates,,,,,,,,,Postmates        
iDoneThis,,,,,,,,,iDoneThis        
Ribbon,,,,,,,,,Ribbon        
Piggybackr,,,,,,,,,Piggybackr        
RolePoint,,,,,,,,,RolePoint        
Audience.fm,,,,,,,,,Audience.fm        
Boxbee,,,,,,,,,Boxbee        
Chasm.io (formerly Wahooly),,,,,,,,,Chasm.io (formerly Wahooly)        
DroneDeploy,,,,,,,,,DroneDeploy        
Fieldwire,,,,,,,,,Fieldwire        
HumanAPI,,,,,,,,,HumanAPI        
Iterable,,,,,,,,,Iterable        
Pogoseat,,,,,,,,,Pogoseat        
Roobiq,,,,,,,,,Roobiq        
Sensor Tower,,,,,,,,,Sensor Tower        
Truly Wireless,,,,,,,,,Truly Wireless        
ElasticBox,,,,,,,,,ElasticBox        
Storefront,,,,,,,,,Storefront        
Yasmo,,,,,,,,,Yasmo        
CivicScience,,,,,,,,,CivicScience        
Ancestry,,,,,,,,,Ancestry        
KAYAK,,,,,,,,,KAYAK        
XO Group,,,,,,,,,XO Group        
Mozilla,,,,,,,,,Mozilla        
Extreme Enterprises,,,,,,,,,Extreme Enterprises        
