company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_name,investor_region,funding_round_type,metric
Biofisica,,,,,,,,,Biofisica        
Iconic Therapeutics,,,,,,,,,Iconic Therapeutics        
[x+1],,,,,,,,,[x+1]        
Qumu,,,,,,,,,Qumu        
Liquid Engines,,,,,,,,,Liquid Engines        
Apprion,,,,,,,,,Apprion        
Wakonda Technologies,,,,,,,,,Wakonda Technologies        
Silicor Materials,,,,,,,,,Silicor Materials        
Anagran,,,,,,,,,Anagran        
Nuventix,,,,,,,,,Nuventix        
Coskata,,,,,,,,,Coskata        
AltaRock Energy,,,,,,,,,AltaRock Energy        
Zeltiq  Aesthetics,,,,,,,,,Zeltiq  Aesthetics        
EndoGastric Solutions,,,,,,,,,EndoGastric Solutions        
NeuroVista,,,,,,,,,NeuroVista        
Handango,,,,,,,,,Handango        
Sanovi Technologies,,,,,,,,,Sanovi Technologies        
Catabasis Pharmaceuticals,,,,,,,,,Catabasis Pharmaceuticals        
Altura Medical,,,,,,,,,Altura Medical        
Host Analytics,,,,,,,,,Host Analytics        
Nominum,,,,,,,,,Nominum        
Cenzic,,,,,,,,,Cenzic        
Five Prime Therapeutics,,,,,,,,,Five Prime Therapeutics        
Calithera Biosciences,,,,,,,,,Calithera Biosciences        
NeoScale Systems,,,,,,,,,NeoScale Systems        
Actifio,,,,,,,,,Actifio        
PolyRemedy,,,,,,,,,PolyRemedy        
Verastem,,,,,,,,,Verastem        
Aquion Energy,,,,,,,,,Aquion Energy        
Second Genome,,,,,,,,,Second Genome        
Cedexis,,,,,,,,,Cedexis        
EndPlay,,,,,,,,,EndPlay        
Innovative Pulmonary Solutions,,,,,,,,,Innovative Pulmonary Solutions        
Thinking Phone Networks,,,,,,,,,Thinking Phone Networks        
Evergage,,,,,,,,,Evergage        
Modria,,,,,,,,,Modria        
Percolate,,,,,,,,,Percolate        
Directr,,,,,,,,,Directr        
FitStar,,,,,,,,,FitStar        
Circa,,,,,,,,,Circa        
Epoxy,,,,,,,,,Epoxy        
Local Response,,,,,,,,,Local Response        
GridPoint,,,,,,,,,GridPoint        
SensorTran,,,,,,,,,SensorTran        
Portico Learning Solutions,,,,,,,,,Portico Learning Solutions        
FleetCor Technologies,,,,,,,,,FleetCor Technologies        
SOMS Technologies,,,,,,,,,SOMS Technologies        
Singulex,,,,,,,,,Singulex        
Waste Remedies,,,,,,,,,Waste Remedies        
Carbolytic Materials,,,,,,,,,Carbolytic Materials        
Keahole Solar Power,,,,,,,,,Keahole Solar Power        
Allworx,,,,,,,,,Allworx        
Natural Cleaners Colorado,,,,,,,,,Natural Cleaners Colorado        
Pasteuria Bioscience,,,,,,,,,Pasteuria Bioscience        
Computime,,,,,,,,,Computime        
ArcMail,,,,,,,,,ArcMail        
Chapman Instruments,,,,,,,,,Chapman Instruments        
Allen Brothers,,,,,,,,,Allen Brothers        
Capturion Network,,,,,,,,,Capturion Network        
U.S. Fiduciary,,,,,,,,,U.S. Fiduciary        
Arc Solutions,,,,,,,,,Arc Solutions        
Bizzuka,,,,,,,,,Bizzuka        
GridApp Systems,,,,,,,,,GridApp Systems        
NovaTract Surgical,,,,,,,,,NovaTract Surgical        
Esperance Pharmaceuticals,,,,,,,,,Esperance Pharmaceuticals        
The Green Life Guides,,,,,,,,,The Green Life Guides        
agencyQ,,,,,,,,,agencyQ        
BinOptics,,,,,,,,,BinOptics        
Glori Energy,,,,,,,,,Glori Energy        
LiveClips,,,,,,,,,LiveClips        
Elevate Digital,,,,,,,,,Elevate Digital        
Prioria Robotics,,,,,,,,,Prioria Robotics        
Skyline Innovations,,,,,,,,,Skyline Innovations        
Owensboro Grain,,,,,,,,,Owensboro Grain        
3DR Laboratories,,,,,,,,,3DR Laboratories        
Emme E2MS,,,,,,,,,Emme E2MS        
New Haven Pharmaceuticals,,,,,,,,,New Haven Pharmaceuticals        
QuaDPharma,,,,,,,,,QuaDPharma        
Knoa Software,,,,,,,,,Knoa Software        
Upland Software,,,,,,,,,Upland Software        
Ampla Pharmaceuticals,,,,,,,,,Ampla Pharmaceuticals        
Airwide Solutions,,,,,,,,,Airwide Solutions        
Nereus Pharmaceuticals,,,,,,,,,Nereus Pharmaceuticals        
Redfern Integrated Optics,,,,,,,,,Redfern Integrated Optics        
Connolly,,,,,,,,,Connolly        
NeoGuide Systems,,,,,,,,,NeoGuide Systems        
Farfetch,,,,,,,,,Farfetch        
Riskclick,,,,,,,,,Riskclick        
Versartis,,,,,,,,,Versartis        
Zong,,,,,,,,,Zong        
Acutus Medical,,,,,,,,,Acutus Medical        
Seven Seas Water,,,,,,,,,Seven Seas Water        
Quench,,,,,,,,,Quench        
MarketMeSuite,,,,,,,,,MarketMeSuite        
Brand Networks,,,,,,,,,Brand Networks        
TwtBks,,,,,,,,,TwtBks        
DeepFlex,,,,,,,,,DeepFlex        
HiveLive,,,,,,,,,HiveLive        
Syncronex,,,,,,,,,Syncronex        
Livescribe,,,,,,,,,Livescribe        
ConforMIS,,,,,,,,,ConforMIS        
Adamas Pharmaceuticals,,,,,,,,,Adamas Pharmaceuticals        
Tethys BioScience,,,,,,,,,Tethys BioScience        
Coda Automotive,,,,,,,,,Coda Automotive        
SynapSense,,,,,,,,,SynapSense        
AeroSat Corporation,,,,,,,,,AeroSat Corporation        
EnergyWeb Solutions,,,,,,,,,EnergyWeb Solutions        
Primaeva Medical,,,,,,,,,Primaeva Medical        
iScience Interventional,,,,,,,,,iScience Interventional        
NovaSys,,,,,,,,,NovaSys        
Anulex,,,,,,,,,Anulex        
Baxano,,,,,,,,,Baxano        
Uptake Medical,,,,,,,,,Uptake Medical        
TeraVicta Technologies,,,,,,,,,TeraVicta Technologies        
Britestream Networks,,,,,,,,,Britestream Networks        
Altair Therapeutics,,,,,,,,,Altair Therapeutics        
Sonexa Therapeutics,,,,,,,,,Sonexa Therapeutics        
Sorbent Therapeutics,,,,,,,,,Sorbent Therapeutics        
Akebia Therapeutics,,,,,,,,,Akebia Therapeutics        
Aerpio Therapeutics,,,,,,,,,Aerpio Therapeutics        
Simple Star,,,,,,,,,Simple Star        
M3X Media,,,,,,,,,M3X Media        
RatingBug,,,,,,,,,RatingBug        
TelASIC Communications,,,,,,,,,TelASIC Communications        
Heliae,,,,,,,,,Heliae        
Action Products International,,,,,,,,,Action Products International        
O2 Secure Wireless,,,,,,,,,O2 Secure Wireless        
Swrve,,,,,,,,,Swrve        
SilverCloud Health,,,,,,,,,SilverCloud Health        
SkyBitz,,,,,,,,,SkyBitz        
Xtellus,,,,,,,,,Xtellus        
Mobilitec,,,,,,,,,Mobilitec        
Esperion Therapeutics,,,,,,,,,Esperion Therapeutics        
Cempra,,,,,,,,,Cempra        
TransEnterix,,,,,,,,,TransEnterix        
Bioenvision,,,,,,,,,Bioenvision        
Aragon Pharmaceuticals,,,,,,,,,Aragon Pharmaceuticals        
ViewRay,,,,,,,,,ViewRay        
TRIA Beauty,,,,,,,,,TRIA Beauty        
NextWave Pharmaceuticals,,,,,,,,,NextWave Pharmaceuticals        
T2 Biosystems,,,,,,,,,T2 Biosystems        
CeNeRx BioPharma,,,,,,,,,CeNeRx BioPharma        
LensAR,,,,,,,,,LensAR        
Agile Therapeutics,,,,,,,,,Agile Therapeutics        
Ambit Biosciences,,,,,,,,,Ambit Biosciences        
MarketPage,,,,,,,,,MarketPage        
Arcxis Biotechnologies,,,,,,,,,Arcxis Biotechnologies        
Kior,,,,,,,,,Kior        
EnergyUSA Propane,,,,,,,,,EnergyUSA Propane        
Relayware,,,,,,,,,Relayware        
SocialPandas,,,,,,,,,SocialPandas        
Global Sugar Art,,,,,,,,,Global Sugar Art        
Lev Pharmaceuticals,,,,,,,,,Lev Pharmaceuticals        
BrainCells,,,,,,,,,BrainCells        
Cambrios Technologies,,,,,,,,,Cambrios Technologies        
Metabolon,,,,,,,,,Metabolon        
Cerulean Pharma,,,,,,,,,Cerulean Pharma        
Mirina,,,,,,,,,Mirina        
nanosys,,,,,,,,,nanosys        
Niti Surgical Solutions,,,,,,,,,Niti Surgical Solutions        
Jacent Technologies,,,,,,,,,Jacent Technologies        
SunEdison,,,,,,,,,SunEdison        
Article One Partners,,,,,,,,,Article One Partners        
WeatherBug,,,,,,,,,WeatherBug        
Ribbit,,,,,,,,,Ribbit        
QSecure,,,,,,,,,QSecure        
Inertia Beverage Group,,,,,,,,,Inertia Beverage Group        
IMVU,,,,,,,,,IMVU        
Staccato Communications,,,,,,,,,Staccato Communications        
DriverSide,,,,,,,,,DriverSide        
Axcient,,,,,,,,,Axcient        
Solera Networks,,,,,,,,,Solera Networks        
IronPort Systems,,,,,,,,,IronPort Systems        
PureWave Networks,,,,,,,,,PureWave Networks        
Coraid,,,,,,,,,Coraid        
Allegiance,,,,,,,,,Allegiance        
Attune Systems,,,,,,,,,Attune Systems        
Wavemaker Software,,,,,,,,,Wavemaker Software        
LGC Wireless,,,,,,,,,LGC Wireless        
Shape Security,,,,,,,,,Shape Security        
ReefEdge,,,,,,,,,ReefEdge        
Mass Relevance,,,,,,,,,Mass Relevance        
Enthuse,,,,,,,,,Enthuse        
OrderGroove,,,,,,,,,OrderGroove        
Compare Metrics,,,,,,,,,Compare Metrics        
Mantara,,,,,,,,,Mantara        
VaST Systems Technology,,,,,,,,,VaST Systems Technology        
Fultec Semiconductor,,,,,,,,,Fultec Semiconductor        
RPO,,,,,,,,,RPO        
PayScale,,,,,,,,,PayScale        
RotoHog,,,,,,,,,RotoHog        
Cartoon Doll Emporium,,,,,,,,,Cartoon Doll Emporium        
The Climate Corporation,,,,,,,,,The Climate Corporation        
Meez,,,,,,,,,Meez        
Ning by Glam Media,,,,,,,,,Ning by Glam Media        
eJamming,,,,,,,,,eJamming        
Business Insider,,,,,,,,,Business Insider        
BitGravity,,,,,,,,,BitGravity        
CityVoter,,,,,,,,,CityVoter        
Nabbr,,,,,,,,,Nabbr        
Northern Power Systems,,,,,,,,,Northern Power Systems        
Pandora Media,,,,,,,,,Pandora Media        
Cellerant Therapeutics,,,,,,,,,Cellerant Therapeutics        
New Relic,,,,,,,,,New Relic        
Evernote,,,,,,,,,Evernote        
Nextdoor,,,,,,,,,Nextdoor        
PresenceLearning,,,,,,,,,PresenceLearning        
Direct Access Software,,,,,,,,,Direct Access Software        
Earth Class Mail,,,,,,,,,Earth Class Mail        
Fyreball,,,,,,,,,Fyreball        
Elemental Technologies,,,,,,,,,Elemental Technologies        
Healionics,,,,,,,,,Healionics        
LiquidPlanner,,,,,,,,,LiquidPlanner        
Moprise,,,,,,,,,Moprise        
Cadence Biomedical,,,,,,,,,Cadence Biomedical        
nFluence Media,,,,,,,,,nFluence Media        
CXOWARE,,,,,,,,,CXOWARE        
SecureWorks,,,,,,,,,SecureWorks        
GlycoMimetics,,,,,,,,,GlycoMimetics        
Bay Microsystems,,,,,,,,,Bay Microsystems        
Apieron,,,,,,,,,Apieron        
Nethra Imaging,,,,,,,,,Nethra Imaging        
Xceive,,,,,,,,,Xceive        
bMobilized,,,,,,,,,bMobilized        
Pure Digital Technologies,,,,,,,,,Pure Digital Technologies        
Fluidigm,,,,,,,,,Fluidigm        
Metabolex,,,,,,,,,Metabolex        
Targeted Growth,,,,,,,,,Targeted Growth        
Exeros,,,,,,,,,Exeros        
Innalabs Holding,,,,,,,,,Innalabs Holding        
eInstruction,,,,,,,,,eInstruction        
DVS Intelestream,,,,,,,,,DVS Intelestream        
Network Hardware Resale,,,,,,,,,Network Hardware Resale        
Biotectix,,,,,,,,,Biotectix        
SoundCure,,,,,,,,,SoundCure        
CryoXtract Instruments,,,,,,,,,CryoXtract Instruments        
RF Biocidics,,,,,,,,,RF Biocidics        
Precision Biopsy,,,,,,,,,Precision Biopsy        
SciFluor Life Sciences,,,,,,,,,SciFluor Life Sciences        
Spin Transfer Technologies,,,,,,,,,Spin Transfer Technologies        
AssureRx Health,,,,,,,,,AssureRx Health        
BidPal Network,,,,,,,,,BidPal Network        
Blue Pillar,,,,,,,,,Blue Pillar        
Scale Computing,,,,,,,,,Scale Computing        
Retrevo,,,,,,,,,Retrevo        
Qwaq,,,,,,,,,Qwaq        
Zannel,,,,,,,,,Zannel        
Moxsie,,,,,,,,,Moxsie        
GigaOM,,,,,,,,,GigaOM        
Apptera,,,,,,,,,Apptera        
Xactly Corp,,,,,,,,,Xactly Corp        
3Leaf,,,,,,,,,3Leaf        
Ravenflow,,,,,,,,,Ravenflow        
Ensenda,,,,,,,,,Ensenda        
Xangati,,,,,,,,,Xangati        
Intelleflex,,,,,,,,,Intelleflex        
Crux Biomedical,,,,,,,,,Crux Biomedical        
OptiMedica,,,,,,,,,OptiMedica        
Restoration Robotics,,,,,,,,,Restoration Robotics        
Adzilla,,,,,,,,,Adzilla        
AnaptysBio,,,,,,,,,AnaptysBio        
Genomatica,,,,,,,,,Genomatica        
Seriosity,,,,,,,,,Seriosity        
Codon Devices,,,,,,,,,Codon Devices        
Starvine,,,,,,,,,Starvine        
Cortina Systems,,,,,,,,,Cortina Systems        
Infineta Systems,,,,,,,,,Infineta Systems        
Nitronex,,,,,,,,,Nitronex        
VeriWave,,,,,,,,,VeriWave        
netZentry,,,,,,,,,netZentry        
IPextreme,,,,,,,,,IPextreme        
BARRX Medical,,,,,,,,,BARRX Medical        
Integrated PhotoVoltaics,,,,,,,,,Integrated PhotoVoltaics        
Integrated Materials,,,,,,,,,Integrated Materials        
Siluria Technologies,,,,,,,,,Siluria Technologies        
Cameron Health,,,,,,,,,Cameron Health        
AEGEA Medical,,,,,,,,,AEGEA Medical        
Verinata Health,,,,,,,,,Verinata Health        
Agari Data,,,,,,,,,Agari Data        
Scifiniti,,,,,,,,,Scifiniti        
Alawar Entertainment,,,,,,,,,Alawar Entertainment        
Qik,,,,,,,,,Qik        
nScaled,,,,,,,,,nScaled        
Hivext Technologies,,,,,,,,,Hivext Technologies        
GridGain Systems,,,,,,,,,GridGain Systems        
Halon Security,,,,,,,,,Halon Security        
Neurotech,,,,,,,,,Neurotech        
Somanta Pharmaceuticals,,,,,,,,,Somanta Pharmaceuticals        
Aprecia Pharmaceuticals,,,,,,,,,Aprecia Pharmaceuticals        
Digital Angel,,,,,,,,,Digital Angel        
Amiigo,,,,,,,,,Amiigo        
BlenderHouse,,,,,,,,,BlenderHouse        
Chogger,,,,,,,,,Chogger        
Crono,,,,,,,,,Crono        
GameHuddle,,,,,,,,,GameHuddle        
Skill-Life,,,,,,,,,Skill-Life        
Sonya Labs,,,,,,,,,Sonya Labs        
Bueda,,,,,,,,,Bueda        
InnomiNet,,,,,,,,,InnomiNet        
iTwixie,,,,,,,,,iTwixie        
StockCastr,,,,,,,,,StockCastr        
CloudFab,,,,,,,,,CloudFab        
Vivo,,,,,,,,,Vivo        
Zipano,,,,,,,,,Zipano        
AJAX Street,,,,,,,,,AJAX Street        
Levlr,,,,,,,,,Levlr        
Devotee,,,,,,,,,Devotee        
NetBeez,,,,,,,,,NetBeez        
Celestial Semiconductor,,,,,,,,,Celestial Semiconductor        
InPhase Technologies,,,,,,,,,InPhase Technologies        
FlickIM,,,,,,,,,FlickIM        
Cake Financial,,,,,,,,,Cake Financial        
Redux,,,,,,,,,Redux        
Gowalla,,,,,,,,,Gowalla        
Smith & Tinker,,,,,,,,,Smith & Tinker        
Moonshoot,,,,,,,,,Moonshoot        
Cleversafe,,,,,,,,,Cleversafe        
Crowdcast,,,,,,,,,Crowdcast        
Elastic Intelligence,,,,,,,,,Elastic Intelligence        
Kidlandia,,,,,,,,,Kidlandia        
Ruckus Media Group,,,,,,,,,Ruckus Media Group        
Resilient Network Systems,,,,,,,,,Resilient Network Systems        
Framehawk,,,,,,,,,Framehawk        
Phizzle,,,,,,,,,Phizzle        
Lookingglass Cyber Solutions,,,,,,,,,Lookingglass Cyber Solutions        
Goko,,,,,,,,,Goko        
Aerospike,,,,,,,,,Aerospike        
Toopher,,,,,,,,,Toopher        
DuneNetworks,,,,,,,,,DuneNetworks        
AirWalk Communications,,,,,,,,,AirWalk Communications        
Intradigm Corporation,,,,,,,,,Intradigm Corporation        
Carbylan BioSurgery,,,,,,,,,Carbylan BioSurgery        
Chimerix,,,,,,,,,Chimerix        
Sierra Surgical,,,,,,,,,Sierra Surgical        
Vaccsys,,,,,,,,,Vaccsys        
Fundamental Applied Biology,,,,,,,,,Fundamental Applied Biology        
Sanarus Medical,,,,,,,,,Sanarus Medical        
Coapt Systems,,,,,,,,,Coapt Systems        
aTyr Pharma,,,,,,,,,aTyr Pharma        
Intarcia Therapeutics,,,,,,,,,Intarcia Therapeutics        
Virobay,,,,,,,,,Virobay        
Phenomix,,,,,,,,,Phenomix        
Agensys,,,,,,,,,Agensys        
Excaliard Pharmaceuticals,,,,,,,,,Excaliard Pharmaceuticals        
nCircle Network Security,,,,,,,,,nCircle Network Security        
Netli,,,,,,,,,Netli        
MacroGenics,,,,,,,,,MacroGenics        
SARcode Bioscience,,,,,,,,,SARcode Bioscience        
RedShift Systems,,,,,,,,,RedShift Systems        
Foldrx Pharmaceuticals,,,,,,,,,Foldrx Pharmaceuticals        
Immune Design,,,,,,,,,Immune Design        
Aerie Pharmaceuticals,,,,,,,,,Aerie Pharmaceuticals        
Applied Genetics Technologies Corporation,,,,,,,,,Applied Genetics Technologies Corporation        
Zafgen,,,,,,,,,Zafgen        
Lumena Pharmaceuticals,,,,,,,,,Lumena Pharmaceuticals        
Kite Pharma,,,,,,,,,Kite Pharma        
Juxta Labs,,,,,,,,,Juxta Labs        
Ondore,,,,,,,,,Ondore        
Zet Universe,,,,,,,,,Zet Universe        
Driveway Software,,,,,,,,,Driveway Software        
Precyse,,,,,,,,,Precyse        
Intralign,,,,,,,,,Intralign        
Cornerstone Pharmaceuticals,,,,,,,,,Cornerstone Pharmaceuticals        
Duetto,,,,,,,,,Duetto        
Lilliputian Systems,,,,,,,,,Lilliputian Systems        
OPX Biotechnologies,,,,,,,,,OPX Biotechnologies        
Evolutionary Genomics,,,,,,,,,Evolutionary Genomics        
Hyperion Power Generation,,,,,,,,,Hyperion Power Generation        
Energy and Power Solutions,,,,,,,,,Energy and Power Solutions        
Eco Power Solutions,,,,,,,,,Eco Power Solutions        
Tantalus Systems,,,,,,,,,Tantalus Systems        
Novinda,,,,,,,,,Novinda        
Deep Nines,,,,,,,,,Deep Nines        
Limerick BioPharma,,,,,,,,,Limerick BioPharma        
Billeo,,,,,,,,,Billeo        
NetBase Solutions,,,,,,,,,NetBase Solutions        
Echo,,,,,,,,,Echo        
Trilibis,,,,,,,,,Trilibis        
WhiteHat Security,,,,,,,,,WhiteHat Security        
CrownPeak,,,,,,,,,CrownPeak        
Provade,,,,,,,,,Provade        
DemandTec,,,,,,,,,DemandTec        
ROBLOX,,,,,,,,,ROBLOX        
Accolo,,,,,,,,,Accolo        
Branders.com,,,,,,,,,Branders.com        
Immunet Corporation,,,,,,,,,Immunet Corporation        
Hooked Media Group,,,,,,,,,Hooked Media Group        
GuardianEdge Technologies,,,,,,,,,GuardianEdge Technologies        
BrightEdge,,,,,,,,,BrightEdge        
Xignite,,,,,,,,,Xignite        
Kontagent,,,,,,,,,Kontagent        
Cogency Software,,,,,,,,,Cogency Software        
TVU Networks,,,,,,,,,TVU Networks        
VAZATA,,,,,,,,,VAZATA        
GreenRoad Technologies,,,,,,,,,GreenRoad Technologies        
ComQi,,,,,,,,,ComQi        
SEVEN Networks,,,,,,,,,SEVEN Networks        
CarePoint Partners,,,,,,,,,CarePoint Partners        
Lexar Media,,,,,,,,,Lexar Media        
BookShout!,,,,,,,,,BookShout!        
FlowPlay,,,,,,,,,FlowPlay        
Armorize Technologies,,,,,,,,,Armorize Technologies        
Guardtime,,,,,,,,,Guardtime        
Blip,,,,,,,,,Blip        
Jack and JakeÕs,,,,,,,,,Jack and JakeÕs        
Personify Inc,,,,,,,,,Personify Inc        
Jetpac,,,,,,,,,Jetpac        
Lex Machina,,,,,,,,,Lex Machina        
Metacloud,,,,,,,,,Metacloud        
Local Motion,,,,,,,,,Local Motion        
DataTorrent,,,,,,,,,DataTorrent        
Bina Technologies,,,,,,,,,Bina Technologies        
Endocyte,,,,,,,,,Endocyte        
Tsavo Media,,,,,,,,,Tsavo Media        
Tymphany,,,,,,,,,Tymphany        
Narus,,,,,,,,,Narus        
Halt Medical,,,,,,,,,Halt Medical        
Reef Point Systems,,,,,,,,,Reef Point Systems        
Aptara,,,,,,,,,Aptara        
HomeAway,,,,,,,,,HomeAway        
ThePort Network,,,,,,,,,ThePort Network        
HID Labs,,,,,,,,,HID Labs        
SpectraSensors,,,,,,,,,SpectraSensors        
PatientSafe Solutions,,,,,,,,,PatientSafe Solutions        
Incuity Software,,,,,,,,,Incuity Software        
OpenClovis,,,,,,,,,OpenClovis        
Agoura Technologies,,,,,,,,,Agoura Technologies        
Opsware,,,,,,,,,Opsware        
Sequoia Media Group,,,,,,,,,Sequoia Media Group        
NewLink Genetics,,,,,,,,,NewLink Genetics        
BitPass,,,,,,,,,BitPass        
Attributor,,,,,,,,,Attributor        
Collarity,,,,,,,,,Collarity        
SendMe,,,,,,,,,SendMe        
Vizu Corporation,,,,,,,,,Vizu Corporation        
Odeo,,,,,,,,,Odeo        
Soundflavor,,,,,,,,,Soundflavor        
GrubHub,,,,,,,,,GrubHub        
Liftopia,,,,,,,,,Liftopia        
Corrigo,,,,,,,,,Corrigo        
Three Rings,,,,,,,,,Three Rings        
Moseo (SeniorHomes.com),,,,,,,,,Moseo (SeniorHomes.com)        
Marin Software,,,,,,,,,Marin Software        
Getable,,,,,,,,,Getable        
Signature,,,,,,,,,Signature        
ParkWhiz,,,,,,,,,ParkWhiz        
Whittl,,,,,,,,,Whittl        
OpTrip,,,,,,,,,OpTrip        
EatLime,,,,,,,,,EatLime        
Infoaxe,,,,,,,,,Infoaxe        
Stiki Digital,,,,,,,,,Stiki Digital        
Clixtr,,,,,,,,,Clixtr        
Zoosk,,,,,,,,,Zoosk        
IngBoo,,,,,,,,,IngBoo        
Aprius,,,,,,,,,Aprius        
Multispan,,,,,,,,,Multispan        
VM Discovery,,,,,,,,,VM Discovery        
Apexigen,,,,,,,,,Apexigen        
Brickell Biotech,,,,,,,,,Brickell Biotech        
BridgeWave Communications,,,,,,,,,BridgeWave Communications        
FirstRain,,,,,,,,,FirstRain        
Cequent Pharmaceuticals,,,,,,,,,Cequent Pharmaceuticals        
Blue Sky Biotech,,,,,,,,,Blue Sky Biotech        
Nitinol Devices & Components,,,,,,,,,Nitinol Devices & Components        
WellGen,,,,,,,,,WellGen        
Motif BioSciences,,,,,,,,,Motif BioSciences        
FireStar Software,,,,,,,,,FireStar Software        
Defywire,,,,,,,,,Defywire        
FlatBurger,,,,,,,,,FlatBurger        
Zenoss,,,,,,,,,Zenoss        
SpydrSafe Mobile Security,,,,,,,,,SpydrSafe Mobile Security        
BlueData Software,,,,,,,,,BlueData Software        
Open Me,,,,,,,,,Open Me        
LIA,,,,,,,,,LIA        
Apmetrix,,,,,,,,,Apmetrix        
Compliance Assurance,,,,,,,,,Compliance Assurance        
Medisyn Technologies,,,,,,,,,Medisyn Technologies        
GoodData,,,,,,,,,GoodData        
SnapLogic,,,,,,,,,SnapLogic        
Asana,,,,,,,,,Asana        
Factual,,,,,,,,,Factual        
Instagram,,,,,,,,,Instagram        
Proferi,,,,,,,,,Proferi        
Canvas Networks,,,,,,,,,Canvas Networks        
Foursquare,,,,,,,,,Foursquare        
Okta,,,,,,,,,Okta        
Mixed Media Labs,,,,,,,,,Mixed Media Labs        
Tasty Labs,,,,,,,,,Tasty Labs        
Massive Health,,,,,,,,,Massive Health        
Nicira Networks,,,,,,,,,Nicira Networks        
TinyCo,,,,,,,,,TinyCo        
Clover,,,,,,,,,Clover        
Magnet Systems,,,,,,,,,Magnet Systems        
Circle Inc,,,,,,,,,Circle Inc        
Grubwithus,,,,,,,,,Grubwithus        
ShoeDazzle,,,,,,,,,ShoeDazzle        
Silver Tail Systems,,,,,,,,,Silver Tail Systems        
Leap Motion,,,,,,,,,Leap Motion        
Bromium,,,,,,,,,Bromium        
Capriza,,,,,,,,,Capriza        
CipherCloud,,,,,,,,,CipherCloud        
Platfora,,,,,,,,,Platfora        
Bitcasa,,,,,,,,,Bitcasa        
Tidemark,,,,,,,,,Tidemark        
Hyperink,,,,,,,,,Hyperink        
PiCloud,,,,,,,,,PiCloud        
Science Exchange,,,,,,,,,Science Exchange        
Jumio,,,,,,,,,Jumio        
Continuuity,,,,,,,,,Continuuity        
Lytro,,,,,,,,,Lytro        
CrowdMob,,,,,,,,,CrowdMob        
NationBuilder,,,,,,,,,NationBuilder        
ClearStory Data,,,,,,,,,ClearStory Data        
Skout,,,,,,,,,Skout        
Pindrop Security,,,,,,,,,Pindrop Security        
StyleSaint,,,,,,,,,StyleSaint        
Fanatics,,,,,,,,,Fanatics        
Flutter,,,,,,,,,Flutter        
Bluebox,,,,,,,,,Bluebox        
Solum,,,,,,,,,Solum        
AgLocal,,,,,,,,,AgLocal        
GitHub,,,,,,,,,GitHub        
uBeam,,,,,,,,,uBeam        
Highfive,,,,,,,,,Highfive        
Firespotter Labs,,,,,,,,,Firespotter Labs        
TopTal,,,,,,,,,TopTal        
Meteor,,,,,,,,,Meteor        
Artillery,,,,,,,,,Artillery        
Quirky,,,,,,,,,Quirky        
Prism Skylabs,,,,,,,,,Prism Skylabs        
Udacity,,,,,,,,,Udacity        
ItsOn,,,,,,,,,ItsOn        
zulily,,,,,,,,,zulily        
Plivo,,,,,,,,,Plivo        
Signifyd,,,,,,,,,Signifyd        
DataGravity,,,,,,,,,DataGravity        
Morta Security,,,,,,,,,Morta Security        
Julep,,,,,,,,,Julep        
Red Hot Labs,,,,,,,,,Red Hot Labs        
Homejoy,,,,,,,,,Homejoy        
Pixlee,,,,,,,,,Pixlee        
InstallMonetizer,,,,,,,,,InstallMonetizer        
Stripe,,,,,,,,,Stripe        
Sookasa,,,,,,,,,Sookasa        
FiftyThree,,,,,,,,,FiftyThree        
MessageMe,,,,,,,,,MessageMe        
Simpler,,,,,,,,,Simpler        
SignalFuse,,,,,,,,,SignalFuse        
Instart Logic,,,,,,,,,Instart Logic        
Infer,,,,,,,,,Infer        
Shapeways,,,,,,,,,Shapeways        
Aviate,,,,,,,,,Aviate        
Airware,,,,,,,,,Airware        
Runscope,,,,,,,,,Runscope        
Tipbit,,,,,,,,,Tipbit        
Anki,,,,,,,,,Anki        
Propeller,,,,,,,,,Propeller        
Concept.io,,,,,,,,,Concept.io        
App.net,,,,,,,,,App.net        
Zumper,,,,,,,,,Zumper        
Proven.com,,,,,,,,,Proven.com        
Illumio,,,,,,,,,Illumio        
Databricks,,,,,,,,,Databricks        
Netsmart Technologies,,,,,,,,,Netsmart Technologies        
TheraSim,,,,,,,,,TheraSim        
Kohort,,,,,,,,,Kohort        
HitFix,,,,,,,,,HitFix        
SnoopWall,,,,,,,,,SnoopWall        
SmartCells,,,,,,,,,SmartCells        
ScanScout,,,,,,,,,ScanScout        
Pixability,,,,,,,,,Pixability        
JamHub,,,,,,,,,JamHub        
Content Raven,,,,,,,,,Content Raven        
Planet Metrics,,,,,,,,,Planet Metrics        
LicenseStream,,,,,,,,,LicenseStream        
PingMD,,,,,,,,,PingMD        
cloudswave,,,,,,,,,cloudswave        
Sway Medical,,,,,,,,,Sway Medical        
EnerTrac,,,,,,,,,EnerTrac        
VolunteerSpot,,,,,,,,,VolunteerSpot        
Ordoro,,,,,,,,,Ordoro        
CMP.LY,,,,,,,,,CMP.LY        
On The Spot Systems,,,,,,,,,On The Spot Systems        
MoFuse,,,,,,,,,MoFuse        
Fundation,,,,,,,,,Fundation        
FlyCast,,,,,,,,,FlyCast        
Goodfilms,,,,,,,,,Goodfilms        
Miles Electric Vehicles,,,,,,,,,Miles Electric Vehicles        
